Close_BTC,Close_ETH,Close_SPX,Close_NASDAQ,GDP,UNRATE,CPI,FFR
11403.700195,895.370972,2716.26001,7234.310059,20304.874,4.1,249.529,1.42
10690.400391,849.971008,2701.330078,7218.22998,20304.874,4.1,249.529,1.42
10005.0,812.844971,2703.959961,7210.089844,20304.874,4.1,249.529,1.42
10301.099609,864.189026,2747.300049,7337.390137,20304.874,4.1,249.529,1.42
10366.700195,869.315002,2779.600098,7421.459961,20304.874,4.1,249.529,1.42
10725.599609,878.265015,2744.280029,7330.350098,20304.874,4.1,249.529,1.42
10397.900391,855.198975,2713.830078,7273.009766,20304.874,4.1,249.529,1.42
10951.0,872.200012,2677.669922,7180.560059,20304.874,4.0,249.577,1.51
11086.400391,856.853027,2691.25,7257.870117,20304.874,4.0,249.577,1.51
11573.299805,853.684021,2720.939941,7330.709961,20304.874,4.0,249.577,1.51
10779.900391,816.950989,2728.120117,7372.009766,20304.874,4.0,249.577,1.51
9965.570313,752.830994,2726.800049,7396.649902,20304.874,4.0,249.577,1.51
9395.009766,704.596008,2738.969971,7427.950195,20304.874,4.0,249.577,1.51
9337.549805,728.916016,2786.570068,7560.810059,20304.874,4.0,249.577,1.51
9205.120117,699.830994,2783.02002,7588.319824,20304.874,4.0,249.577,1.51
9194.849609,690.827026,2765.310059,7511.009766,20304.874,4.0,249.577,1.51
8269.80957,614.291016,2749.47998,7496.810059,20304.874,4.0,249.577,1.51
8300.860352,611.304016,2747.330078,7481.740234,20304.874,4.0,249.577,1.51
8338.349609,601.666016,2752.01001,7481.990234,20304.874,4.0,249.577,1.51
8630.650391,556.726013,2712.919922,7344.240234,20304.874,4.0,249.577,1.51
8913.469727,557.174988,2716.939941,7364.299805,20304.874,4.0,249.577,1.51
8929.280273,561.731995,2711.929932,7345.290039,20304.874,4.0,249.577,1.51
8728.469727,539.702026,2643.689941,7166.680176,20304.874,4.0,249.577,1.51
8879.620117,539.619019,2588.26001,6992.669922,20304.874,4.0,249.577,1.51
8209.400391,489.950989,2658.550049,7220.540039,20304.874,4.0,249.577,1.51
7833.040039,450.115997,2612.620117,7008.810059,20304.874,4.0,249.577,1.51
7954.47998,446.278992,2605.0,6949.22998,20304.874,4.0,249.577,1.51
7165.700195,385.967987,2640.870117,7063.450195,20304.874,4.0,249.577,1.51
7083.799805,386.424988,2581.879883,6870.120117,20304.874,4.0,249.577,1.51
7456.109863,416.893005,2614.449951,6941.279785,20304.874,4.0,249.577,1.51
6853.839844,380.542999,2644.689941,7042.109863,20304.874,4.0,249.577,1.51
6811.470215,383.231995,2662.840088,7076.549805,20304.874,4.0,249.577,1.51
6636.319824,370.285004,2604.469971,6915.109863,20304.874,4.0,249.577,1.51
6770.72998,398.526001,2613.159912,6950.339844,20304.874,4.0,249.577,1.51
6834.759766,414.243011,2656.870117,7094.299805,20304.874,4.0,249.577,1.51
6968.319824,430.540009,2642.189941,7069.029785,20304.874,4.0,249.577,1.51
7889.25,492.94101,2663.98999,7140.25,20304.874,4.0,249.577,1.51
7895.959961,492.734985,2656.300049,7106.649902,20304.874,4.0,249.577,1.51
8058.669922,511.147003,2677.840088,7156.279785,20304.874,4.0,249.577,1.51
7902.089844,502.894012,2706.389893,7281.100098,20304.874,4.0,249.577,1.51
8163.419922,524.789001,2708.639893,7295.240234,20304.874,4.0,249.577,1.51
8294.30957,567.888977,2693.129883,7238.060059,20304.874,4.0,249.577,1.51
8845.830078,615.718018,2670.139893,7146.129883,20304.874,4.0,249.577,1.51
8930.879883,642.547974,2670.290039,7128.600098,20304.874,4.0,249.577,1.51
9697.5,708.15802,2634.560059,7007.350098,20304.874,4.0,249.577,1.51
8845.740234,615.416016,2639.399902,7003.740234,20304.874,4.0,249.577,1.51
9281.509766,662.809021,2666.939941,7118.680176,20304.874,4.0,249.577,1.51
8987.049805,647.031982,2669.909912,7119.799805,20304.874,4.0,249.577,1.51
9240.549805,669.924011,2648.050049,7066.27002,20304.874,4.0,249.577,1.51
9119.009766,673.612976,2654.800049,7130.700195,20304.874,3.8,250.792,1.7
9235.919922,687.148987,2635.669922,7100.899902,20304.874,3.8,250.792,1.7
9743.860352,779.54303,2629.72998,7088.149902,20304.874,3.8,250.792,1.7
9700.759766,785.624023,2663.419922,7209.620117,20304.874,3.8,250.792,1.7
9373.009766,753.724976,2672.629883,7265.209961,20304.874,3.8,250.792,1.7
9234.820313,752.856995,2671.919922,7266.899902,20304.874,3.8,250.792,1.7
9325.179688,752.275024,2697.790039,7339.910156,20304.874,3.8,250.792,1.7
9043.94043,727.276978,2723.070068,7404.970215,20304.874,3.8,250.792,1.7
8441.490234,679.585999,2727.719971,7402.879883,20304.874,3.8,250.792,1.7
8716.790039,730.549011,2730.129883,7411.319824,20304.874,3.8,250.792,1.7
8510.379883,708.870972,2711.449951,7351.629883,20304.874,3.8,250.792,1.7
