Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,79.068336,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,79.427299,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,80.426186,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,80.410576,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,80.613503,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,80.582268,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,80.660339,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,81.971352,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,81.721642,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,81.284637,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,80.613503,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,82.259636,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,81.867317,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,82.400841,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,82.008553,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,81.883034,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,82.165482,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,81.474998,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,83.263962,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,83.122711,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,83.075645,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,83.703339,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,83.562088,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,84.048561,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,84.550758,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,84.236870,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,84.393806,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,85.005798,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,83.656250,38550
2010-10-20,106.940002,108.160004,106.940002,107.760002,84.550758,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,84.676262,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,84.880264,24850
2010-10-25,109.019997,109.279999,108.459999,108.500000,85.131332,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,85.115639,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,84.848854,17150
2010-10-28,108.760002,108.820000,107.760002,108.220001,84.911644,19250
2010-10-29,108.099998,108.419998,108.000000,108.300003,84.974419,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,85.021515,51550
2010-11-02,109.220001,109.419998,108.860001,109.199997,85.680580,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,86.041489,31850
2010-11-04,110.900002,111.800003,110.739998,111.720001,87.657814,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,88.003075,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,87.893211,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,87.202728,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,87.532272,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,87.249802,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,86.167053,39450
2010-11-15,110.300003,110.519997,109.639999,109.720001,86.088593,202750
2010-11-16,109.019997,109.019997,107.480003,107.959999,84.707634,32850
2010-11-17,108.059998,108.459999,107.779999,108.040001,84.770416,42450
2010-11-18,109.080002,109.919998,109.080002,109.639999,86.025841,26100
2010-11-19,109.500000,109.940002,109.040001,109.900002,86.229820,20250
2010-11-22,109.419998,109.800003,108.580002,109.800003,86.151337,25350
2010-11-23,108.559998,108.639999,107.919998,108.260002,84.943039,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,86.041489,30100
2010-11-26,108.959999,109.400002,108.820000,109.040001,85.555046,32650
2010-11-29,108.360001,109.160004,107.660004,108.940002,85.476555,46000
2010-11-30,107.959999,108.860001,107.820000,108.180000,84.880264,91950
2010-12-01,109.919998,110.739998,109.879997,110.620003,86.794746,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,87.924583,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,88.144310,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,88.034431,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,88.065811,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,88.426758,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,88.756325,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,89.289841,73950
2010-12-13,114.320000,114.440002,113.820000,113.860001,89.336906,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,89.383987,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,88.991669,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,89.509529,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,89.635071,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,89.823395,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,90.372581,76200
